IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
104.18.99.150,4,4,0.00,166.61,3.00,SJC
172.64.149.164,4,4,0.00,165.51,2.97,SJC
104.19.215.2,4,4,0.00,165.77,2.63,SJC
162.159.143.105,4,4,0.00,167.53,2.62,SJC
104.19.162.244,4,4,0.00,168.02,2.61,SJC
173.245.49.182,4,4,0.00,169.99,2.58,SJC
162.159.39.20,4,4,0.00,172.26,2.57,LAX
104.17.238.32,4,4,0.00,172.32,2.50,SJC
141.101.123.55,4,4,0.00,170.93,2.47,SJC
104.19.64.14,4,4,0.00,171.40,2.43,SJC
104.19.46.106,4,4,0.00,169.83,2.39,SJC
198.41.222.21,4,4,0.00,171.08,2.37,SJC
141.101.114.12,4,4,0.00,167.70,2.32,SJC
172.64.146.20,4,4,0.00,168.58,2.27,SJC
172.64.88.191,4,4,0.00,170.88,2.27,SJC
104.18.27.236,4,4,0.00,171.52,2.26,LAX
162.159.17.194,4,4,0.00,165.61,2.23,SJC
104.18.24.106,4,4,0.00,172.25,2.21,LAX
104.19.3.55,4,4,0.00,168.92,2.19,SJC
104.19.39.207,4,4,0.00,169.04,2.18,SJC
104.17.169.214,4,4,0.00,169.31,2.18,SJC
104.17.14.46,4,4,0.00,172.28,2.15,SJC
162.159.244.252,4,4,0.00,169.40,2.11,LAX
104.16.118.128,4,4,0.00,171.86,2.09,LAX
104.19.80.9,4,4,0.00,171.97,2.07,SJC
104.17.173.113,4,4,0.00,168.04,2.06,SJC
104.19.245.30,4,4,0.00,168.90,2.05,LAX
104.19.59.252,4,4,0.00,171.64,1.99,SJC
172.64.40.190,4,4,0.00,170.00,1.93,LAX
104.16.230.163,4,4,0.00,169.73,1.91,SJC
172.64.34.13,4,4,0.00,171.30,1.90,SJC
104.19.144.184,4,4,0.00,166.68,1.83,SJC
104.17.192.2,4,4,0.00,167.16,1.80,SJC
104.18.42.103,4,4,0.00,170.03,1.71,SJC
104.18.61.97,4,4,0.00,168.88,1.71,SJC
104.19.90.228,4,4,0.00,169.64,1.57,SJC
104.18.149.90,4,4,0.00,170.04,1.54,SJC
104.17.35.203,4,4,0.00,171.56,1.54,SJC
172.64.145.228,4,4,0.00,172.25,1.35,SJC
172.64.229.122,4,4,0.00,144.00,1.23,NRT
104.16.153.69,4,4,0.00,167.77,1.14,SJC
104.18.29.31,4,4,0.00,171.47,0.94,LAX
104.18.228.137,4,4,0.00,170.68,0.93,SJC
104.17.129.13,4,4,0.00,172.57,0.71,SJC
104.16.237.87,4,4,0.00,166.71,0.70,SJC
172.64.41.92,4,4,0.00,169.31,0.68,SJC
104.18.41.117,4,4,0.00,172.51,0.54,SJC
172.66.40.184,4,4,0.00,172.04,0.43,SJC
172.64.52.55,4,4,0.00,165.85,0.43,SJC
104.19.160.28,4,4,0.00,171.88,0.03,SJC
