IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.137.193,8443,true,SJC,North America,San Jose,191 ms,4383 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,307 ms,3293 kB/s
64.181.240.173,443,true,SJC,North America,San Jose,172 ms,2791 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,276 ms,2643 kB/s
152.70.123.225,8443,true,SJC,North America,San Jose,184 ms,2545 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,219 ms,2530 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,369 ms,2463 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,297 ms,2234 kB/s
129.151.148.35,443,true,AMS,Europe,Amsterdam,259 ms,2172 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,253 ms,2091 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,231 ms,2028 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,263 ms,1520 kB/s
143.47.237.161,443,true,FRA,Europe,Frankfurt,261 ms,1427 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,313 ms,1030 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,266 ms,774 kB/s
192.9.250.241,443,true,SJC,North America,San Jose,193 ms,547 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,324 ms,270 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,296 ms,233 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,314 ms,211 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,317 ms,195 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,218 ms,137 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,272 ms,131 kB/s
132.145.54.84,8443,true,LHR,Europe,London,238 ms,121 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,268 ms,118 kB/s
144.24.243.207,443,true,ZRH,Europe,Zurich,263 ms,112 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,306 ms,109 kB/s
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,201 ms,99 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,295 ms,93 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,283 ms,86 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,302 ms,73 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,303 ms,42 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,297 ms,38 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,251 ms,34 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,272 ms,26 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,176 ms,0 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,364 ms,0 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,231 ms,0 kB/s
132.226.7.217,443,true,NRT,Asia Pacific,Tokyo,171 ms,0 kB/s
